"","Year","day-month","excess_deaths","region","date","avg_max_temp","month","deaths_delta","cumdelta_deaths","temp_pctdelta","cumpctdelta_temp","time","id","id2","Intercept_1","Intercept_2","Intercept_3","Intercept_4","Intercept_5","Intercept_6","Intercept_7","Intercept_8","Intercept_9"
"44",2018,"05-Jun",0,"West Midlands",2018-06-05,15.645,6,0,0,-17.6145339652449,-4.53596382379976,5,5,44,NA,NA,NA,NA,1,NA,NA,NA,NA
"45",2018,"05-Jun",18,"Yorkshire And The Humber",2018-06-05,14.535,6,25,18,-3.1,-8.49504928677496,5,3,45,NA,NA,1,NA,NA,NA,NA,NA,NA
"46",2018,"06-Jun",0,"East",2018-06-06,16.7538461538462,6,0,0,13.9717425431711,5.42237591512583,6,6,46,NA,NA,NA,NA,NA,1,NA,NA,NA
"47",2018,"06-Jun",0,"East Midlands",2018-06-06,15.8611111111111,6,1,0,2.77177825773938,3.33408115935024,6,4,47,NA,NA,NA,1,NA,NA,NA,NA,NA
"48",2018,"06-Jun",12,"London",2018-06-06,18.4833333333333,6,41,12,11.011011011011,11.7897759999633,6,7,48,NA,NA,NA,NA,NA,NA,1,NA,NA
"49",2018,"06-Jun",7,"North East",2018-06-06,14.5,6,21,7,4.12926391382405,-12.0262950733112,6,1,49,1,NA,NA,NA,NA,NA,NA,NA,NA
"50",2018,"06-Jun",0,"North West",2018-06-06,17.9,6,15,0,3.86847195357832,2.31260097235781,6,2,50,NA,1,NA,NA,NA,NA,NA,NA,NA
"51",2018,"06-Jun",7,"South East",2018-06-06,17.5235294117647,6,20,7,1.0858500169664,11.9467329748756,6,8,51,NA,NA,NA,NA,NA,NA,NA,1,NA
"52",2018,"06-Jun",0,"South West",2018-06-06,16.7055555555556,6,0,0,0.333667000333677,7.70297514948121,6,9,52,NA,NA,NA,NA,NA,NA,NA,NA,1
"53",2018,"06-Jun",7,"West Midlands",2018-06-06,17.015,6,14,7,8.75679130712689,4.22082748332713,6,5,53,NA,NA,NA,NA,1,NA,NA,NA,NA
"54",2018,"06-Jun",0,"Yorkshire And The Humber",2018-06-06,14.045,6,0,0,-3.37117303061576,-11.8662223173907,6,3,54,NA,NA,1,NA,NA,NA,NA,NA,NA
"55",2018,"07-Jun",8,"East",2018-06-07,17.9038461538462,6,20,8,6.86409550045913,12.286471415585,7,6,55,NA,NA,NA,NA,NA,1,NA,NA,NA
"56",2018,"07-Jun",0,"East Midlands",2018-06-07,16.5555555555556,6,0,0,4.3782837127846,7.71236487213484,7,4,56,NA,NA,NA,1,NA,NA,NA,NA,NA
"57",2018,"07-Jun",3,"London",2018-06-07,19.6166666666667,6,0,3,6.13165013525699,17.9214261352203,7,7,57,NA,NA,NA,NA,NA,NA,1,NA,NA
"58",2018,"07-Jun",0,"North East",2018-06-07,15.34,6,0,0,5.79310344827586,-6.23319162503535,7,1,58,1,NA,NA,NA,NA,NA,NA,NA,NA
"59",2018,"07-Jun",0,"North West",2018-06-07,19.4916666666667,6,0,0,8.89199255121044,11.2045935235683,7,2,59,NA,1,NA,NA,NA,NA,NA,NA,NA
"60",2018,"07-Jun",19,"South East",2018-06-07,18.9382352941176,6,12,19,8.07317891910037,20.019911893976,7,8,60,NA,NA,NA,NA,NA,NA,NA,1,NA
"61",2018,"07-Jun",9,"South West",2018-06-07,17.8388888888889,6,18,9,6.78417026937146,14.4871454188527,7,9,61,NA,NA,NA,NA,NA,NA,NA,NA,1
"62",2018,"07-Jun",0,"West Midlands",2018-06-07,16.865,6,0,0,-0.881575080811062,3.33925240251607,7,5,62,NA,NA,NA,NA,1,NA,NA,NA,NA
"63",2018,"07-Jun",0,"Yorkshire And The Humber",2018-06-07,15.995,6,0,0,13.8839444642222,2.01772214683143,7,3,63,NA,NA,1,NA,NA,NA,NA,NA,NA
"64",2018,"08-Jun",2,"East",2018-06-08,17.6769230769231,6,0,2,-1.26745435016111,11.0190170654238,8,6,64,NA,NA,NA,NA,NA,1,NA,NA,NA
